Date,P30:credit/compress,P30:credit/mild,P30:credit/severe,P30:interest_rate/bear_steepen,P30:interest_rate/bull_flatten,P30:liquidity/stress,P90:credit/compress,P90:credit/mild,P90:credit/severe,P90:interest_rate/bear_steepen,P90:interest_rate/bull_flatten,P90:liquidity/stress
2005-11-09,0.079484,0.093065,0.027411,0.035575,0.103300,0.041254,0.220000,0.254018,0.080000,0.102973,0.278990,0.118725
2005-11-10,0.079484,0.103303,0.027411,0.033385,0.111529,0.037886,0.220000,0.278997,0.080000,0.096849,0.298659,0.109405
2005-11-14,0.079484,0.104136,0.027411,0.033527,0.110956,0.038102,0.220000,0.281005,0.080000,0.097247,0.297301,0.110006
2005-11-15,0.079484,0.107749,0.027411,0.032567,0.114948,0.036648,0.220000,0.289668,0.080000,0.094555,0.306723,0.105963
2005-11-16,0.079484,0.129027,0.027411,0.031653,0.119024,0.035277,0.220000,0.339285,0.080000,0.091985,0.316257,0.102141
2005-11-17,0.079484,0.142642,0.027411,0.032880,0.113617,0.037119,0.220000,0.369789,0.080000,0.095432,0.303592,0.107275
2005-11-18,0.079484,0.125330,0.027411,0.033574,0.110769,0.038173,0.220000,0.330836,0.080000,0.097378,0.296857,0.110203
2005-11-21,0.079484,0.127465,0.027411,0.032088,0.117049,0.035927,0.220000,0.335724,0.080000,0.093208,0.311650,0.103956
2005-11-22,0.079484,0.137199,0.027411,0.034429,0.107449,0.039482,0.220000,0.357708,0.080000,0.099773,0.288952,0.113831
2005-11-23,0.079484,0.124940,0.027411,0.034556,0.106973,0.039677,0.220000,0.329941,0.080000,0.100128,0.287813,0.114371
2005-11-25,0.079484,0.128122,0.027411,0.034117,0.108638,0.039003,0.220000,0.337224,0.080000,0.098899,0.291789,0.112504
2005-11-28,0.079484,0.126864,0.027411,0.033144,0.112517,0.037519,0.220000,0.334351,0.080000,0.096173,0.300995,0.108387
2005-11-29,0.079484,0.115948,0.027411,0.033282,0.111949,0.037729,0.220000,0.309070,0.080000,0.096561,0.299651,0.108971
2005-11-30,0.079484,0.134507,0.027411,0.032879,0.113620,0.037118,0.220000,0.351679,0.080000,0.095430,0.303598,0.107273
2005-12-01,0.079484,0.122418,0.027411,0.033019,0.113034,0.037330,0.220000,0.324130,0.080000,0.095823,0.302216,0.107862
2005-12-02,0.079484,0.129462,0.027411,0.034250,0.108127,0.039207,0.220000,0.340276,0.080000,0.099272,0.290570,0.113070
2005-12-05,0.079484,0.128154,0.027411,0.034938,0.105567,0.040266,0.220000,0.337296,0.080000,0.101194,0.284445,0.115998
2005-12-06,0.079484,0.141941,0.027411,0.033394,0.111496,0.037898,0.220000,0.368242,0.080000,0.096872,0.298580,0.109440
2005-12-07,0.079484,0.139132,0.027411,0.035192,0.104652,0.040659,0.220000,0.362015,0.080000,0.101904,0.282246,0.117084
